t_s,setpoint_front,setpoint_middle,setpoint_back,setpoint_nozzle,sensor_front,sensor_middle,sensor_back,sensor_nozzle,steel_front,steel_middle,steel_back,steel_nozzle,band_front,band_middle,band_back,band_nozzle,duty_front,duty_middle,duty_back,duty_nozzle,power_w_front,power_w_middle,power_w_back,power_w_nozzle
1467.00,180.000,180.000,180.000,180.000,177.356,190.785,175.365,143.049,180.532,187.782,175.899,149.852,205.202,184.476,202.644,370.330,0.1716,0.0000,0.2040,0.9500,0.00,0.00,0.00,0.00
1468.00,180.000,180.000,180.000,180.000,177.377,190.765,175.369,143.094,180.553,187.764,175.911,149.896,204.945,184.464,202.669,370.365,0.1716,0.0000,0.2041,0.9500,0.00,0.00,0.00,0.00
1469.00,180.000,180.000,180.000,180.000,177.398,190.745,175.373,143.139,180.574,187.747,175.924,149.940,204.715,184.452,202.692,370.399,0.1716,0.0000,0.2042,0.9500,0.00,0.00,0.00,0.00
1470.00,180.000,180.000,180.000,180.000,177.419,190.725,175.376,143.185,180.594,187.730,175.936,149.983,204.508,184.440,202.713,370.434,0.1716,0.0000,0.2042,0.9500,0.00,0.00,0.00,0.00
1471.00,180.000,180.000,180.000,180.000,177.440,190.705,175.380,143.230,180.614,187.713,175.948,150.027,204.323,184.429,202.734,370.469,0.1716,0.0000,0.2043,0.9500,0.00,0.00,0.00,0.00
1472.00,180.000,180.000,180.000,180.000,177.461,190.685,175.384,143.275,180.634,187.696,175.961,150.071,204.108,184.417,202.753,370.504,0.1650,0.0000,0.2044,0.9500,0.00,0.00,0.00,0.00
1473.00,180.000,180.000,180.000,180.000,177.483,190.665,175.388,143.320,180.653,187.678,175.973,150.114,203.867,184.405,202.772,370.538,0.1650,0.0000,0.2045,0.9500,0.00,0.00,0.00,0.00
1474.00,180.000,180.000,180.000,180.000,177.504,190.646,175.392,143.366,180.672,187.661,175.985,150.158,203.651,184.393,202.790,370.573,0.1650,0.0000,0.2046,0.9500,0.00,0.00,0.00,0.00
1475.00,180.000,180.000,180.000,180.000,177.525,190.626,175.396,143.411,180.690,187.644,175.997,150.201,203.458,184.382,202.807,370.608,0.1650,0.0000,0.2046,0.9500,0.00,0.00,0.00,0.00
1476.00,180.000,180.000,180.000,180.000,177.546,190.606,175.400,143.456,180.707,187.628,176.010,150.245,203.284,184.370,202.823,370.643,0.1650,0.0000,0.2047,0.9500,0.00,0.00,0.00,0.00
1477.00,180.000,180.000,180.000,180.000,177.567,190.586,175.404,143.501,180.725,187.611,176.022,150.288,203.031,184.358,202.839,370.677,0.1584,0.0000,0.2048,0.9500,0.00,0.00,0.00,0.00
1478.00,180.000,180.000,180.000,180.000,177.588,190.566,175.408,143.546,180.741,187.594,176.034,150.332,202.805,184.347,202.854,370.712,0.1584,0.0000,0.2049,0.9500,0.00,0.00,0.00,0.00
1479.00,180.000,180.000,180.000,180.000,177.609,190.546,175.412,143.591,180.758,187.577,176.046,150.375,202.601,184.335,202.869,370.747,0.1584,0.0000,0.2049,0.9500,0.00,0.00,0.00,0.00
1480.00,180.000,180.000,180.000,180.000,177.630,190.527,175.416,143.637,180.773,187.560,176.059,150.419,202.418,184.324,202.883,370.781,0.1584,0.0000,0.2050,0.9500,0.00,0.00,0.00,0.00
1481.00,180.000,180.000,180.000,180.000,177.651,190.507,175.420,143.682,180.789,187.544,176.071,150.462,202.253,184.312,202.896,370.816,0.1518,0.0000,0.2051,0.9500,0.00,0.00,0.00,0.00
1482.00,180.000,180.000,180.000,180.000,177.672,190.487,175.425,143.727,180.804,187.527,176.083,150.505,201.978,184.301,202.910,370.851,0.1518,0.0000,0.2052,0.9500,0.00,0.00,0.00,0.00
1483.00,180.000,180.000,180.000,180.000,177.692,190.468,175.429,143.772,180.818,187.511,176.095,150.549,201.729,184.289,202.923,370.885,0.1518,0.0000,0.2053,0.9500,0.00,0.00,0.00,0.00
1484.00,180.000,180.000,180.000,180.000,177.713,190.448,175.434,143.817,180.832,187.494,176.107,150.592,201.506,184.278,202.935,370.920,0.1518,0.0000,0.2053,0.9500,0.00,0.00,0.00,0.00
1485.00,180.000,180.000,180.000,180.000,177.734,190.428,175.438,143.862,180.846,187.478,176.120,150.635,201.305,184.266,202.948,370.954,0.1518,0.0000,0.2054,0.9500,0.00,0.00,0.00,0.00
1486.00,180.000,180.000,180.000,180.000,177.755,190.409,175.443,143.907,180.859,187.461,176.132,150.679,201.124,184.255,202.960,370.989,0.1452,0.0000,0.2055,0.9500,0.00,0.00,0.00,0.00
