timestamp_ms,rss_bytes,process_cpu_time_s,minor_faults,major_faults,jitter_min_ns,jitter_avg_ns,jitter_max_ns,rt_loop_cpu_time_s,rx_bytes_per_s,tx_bytes_per_s,rt_nr_switches,rt_nr_voluntary_switches,rt_nr_involuntary_switches
1769774263927,22552576,108.170000,2007,0,381,778,4639 ,,105753.368,113676.897,433077,83367,349710
1769774264968,22552576,110.240000,2007,0,381,816,6252 ,,105862.034,114572.445,441405,84902,356503
1769774266009,22339584,112.330000,2007,0,381,807,6082 ,,105927.014,113475.937,449791,86447,363344
1769774267048,22392832,114.410000,2020,0,361,827,28393 ,,105562.761,115541.694,458136,87991,370145
1769774268089,22392832,116.490000,2020,0,361,795,2796 ,,106142.881,114061.123,466525,89537,376988
1769774269129,22392832,118.580000,2020,0,371,828,38944 ,,105757.582,113914.672,474846,91074,383772
1769774270169,22306816,120.660000,2020,0,361,812,11091 ,,105790.845,115507.802,483161,92611,390550
1769774271210,22552576,122.740000,2080,0,371,827,6102 ,,105998.754,113812.626,491435,94164,397271
1769774272252,22552576,124.820000,2080,0,401,825,5140 ,,107632.158,115831.222,499748,95702,404046
1769774273294,22339584,126.910000,2080,0,361,1062,216626 ,,105701.580,113571.299,508039,97247,410792
1769774274335,22396928,129.010000,2094,0,381,845,1964 ,,105855.225,115452.227,516296,98793,417503
1769774275379,22396928,131.090000,2094,0,401,2222,1007175 ,,105398.427,113545.175,524521,100337,424184
1769774276423,22306816,133.180000,2094,0,381,899,17844 ,,105912.293,113895.949,532804,101872,430932
1769774277464,22306816,135.260000,2094,0,381,820,14457 ,,105679.833,115475.177,541047,103416,437631
1769774278505,22560768,137.350000,2156,0,391,794,5942 ,,105729.573,113656.169,549374,104964,444410
1769774279550,22560768,139.440000,2156,0,381,13450,2307059 ,,1167759.464,139496.291,557534,106484,451050
1769774280591,22343680,141.510000,2156,0,391,825,5230 ,,274247.612,125211.626,565823,108043,457780
1769774281633,22396928,143.590000,2169,0,381,2001,1034778 ,,111139.363,122176.069,574012,109580,464432
1769774282676,22396928,145.670000,2169,0,351,809,5080 ,,118998.455,117883.120,582331,111136,471195
1769774283718,22306816,147.760000,2169,0,361,1491,665566 ,,115550.588,114936.979,590742,112671,478072
1769774284760,22306816,149.840000,2169,0,402,811,3117 ,,110719.705,115908.267,599068,114203,484865
1769774285809,22564864,151.930000,2232,0,401,2442,1060786 ,,144102.930,127800.271,607414,115759,491655
1769774286851,22564864,154.030000,2232,0,391,2994,1047992 ,,153659.469,128436.506,615797,117287,498510
